Mês,Variável,Valor,Un
julho 1984,IPCA - Variação mensal,9.72,%
julho 1984,IPCA - Variação acumulada em 3 meses,31.72,%
julho 1984,IPCA - Variação acumulada em 6 meses,72.12,%
julho 1984,IPCA - Variação acumulada no ano,88.76,%
julho 1984,IPCA - Variação acumulada em 12 meses,188.62,%
agosto 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000003313854,Número-índice
agosto 1984,IPCA - Variação mensal,9.35,%
agosto 1984,IPCA - Variação acumulada em 3 meses,32.08,%
agosto 1984,IPCA - Variação acumulada em 6 meses,71.88,%
agosto 1984,IPCA - Variação acumulada no ano,106.41,%
agosto 1984,IPCA - Variação acumulada em 12 meses,189.25,%
setembro 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000003703168,Número-índice
setembro 1984,IPCA - Variação mensal,11.75,%
setembro 1984,IPCA - Variação acumulada em 3 meses,34.08,%
setembro 1984,IPCA - Variação acumulada em 6 meses,76.31,%
setembro 1984,IPCA - Variação acumulada no ano,130.65,%
setembro 1984,IPCA - Variação acumulada em 12 meses,193.05,%
outubro 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000004089675,Número-índice
outubro 1984,IPCA - Variação mensal,10.44,%
outubro 1984,IPCA - Variação acumulada em 3 meses,34.95,%
outubro 1984,IPCA - Variação acumulada em 6 meses,77.75,%
outubro 1984,IPCA - Variação acumulada no ano,154.73,%
outubro 1984,IPCA - Variação acumulada em 12 meses,197.27,%
novembro 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000004520168,Número-índice
novembro 1984,IPCA - Variação mensal,10.53,%
novembro 1984,IPCA - Variação acumulada em 3 meses,36.40,%
novembro 1984,IPCA - Variação acumulada em 6 meses,80.16,%
novembro 1984,IPCA - Variação acumulada no ano,181.54,%
novembro 1984,IPCA - Variação acumulada em 12 meses,205.97,%
dezembro 1984,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000005061559,Número-índice
dezembro 1984,IPCA - Variação mensal,11.98,%
dezembro 1984,IPCA - Variação acumulada em 3 meses,36.68,%
dezembro 1984,IPCA - Variação acumulada em 6 meses,83.26,%
dezembro 1984,IPCA - Variação acumulada no ano,215.26,%
dezembro 1984,IPCA - Variação acumulada em 12 meses,215.26,%
janeiro 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000005656761,Número-índice
janeiro 1985,IPCA - Variação mensal,11.76,%
janeiro 1985,IPCA - Variação acumulada em 3 meses,38.32,%
janeiro 1985,IPCA - Variação acumulada em 6 meses,86.66,%
janeiro 1985,IPCA - Variação acumulada no ano,11.76,%
janeiro 1985,IPCA - Variação acumulada em 12 meses,221.27,%
fevereiro 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000006271382,Número-índice
fevereiro 1985,IPCA - Variação mensal,10.87,%
fevereiro 1985,IPCA - Variação acumulada em 3 meses,38.74,%
fevereiro 1985,IPCA - Variação acumulada em 6 meses,89.25,%
fevereiro 1985,IPCA - Variação acumulada no ano,23.90,%
fevereiro 1985,IPCA - Variação acumulada em 12 meses,225.28,%
março 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000006908698,Número-índice
março 1985,IPCA - Variação mensal,10.16,%
março 1985,IPCA - Variação acumulada em 3 meses,36.49,%
março 1985,IPCA - Variação acumulada em 6 meses,86.56,%
março 1985,IPCA - Variação acumulada no ano,36.49,%
março 1985,IPCA - Variação acumulada em 12 meses,228.93,%
abril 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000007474889,Número-índice
abril 1985,IPCA - Variação mensal,8.20,%
abril 1985,IPCA - Variação acumulada em 3 meses,32.14,%
abril 1985,IPCA - Variação acumulada em 6 meses,82.77,%
abril 1985,IPCA - Variação acumulada no ano,47.68,%
abril 1985,IPCA - Variação acumulada em 12 meses,224.88,%
maio 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000008012770,Número-índice
maio 1985,IPCA - Variação mensal,7.20,%
maio 1985,IPCA - Variação acumulada em 3 meses,27.77,%
maio 1985,IPCA - Variação acumulada em 6 meses,77.27,%
maio 1985,IPCA - Variação acumulada no ano,58.31,%
maio 1985,IPCA - Variação acumulada em 12 meses,219.36,%
junho 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000008693369,Número-índice
junho 1985,IPCA - Variação mensal,8.49,%
junho 1985,IPCA - Variação acumulada em 3 meses,25.83,%
junho 1985,IPCA - Variação acumulada em 6 meses,71.75,%
junho 1985,IPCA - Variação acumulada no ano,71.75,%
junho 1985,IPCA - Variação acumulada em 12 meses,214.76,%
julho 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000009589916,Número-índice
julho 1985,IPCA - Variação mensal,10.31,%
julho 1985,IPCA - Variação acumulada em 3 meses,28.30,%
julho 1985,IPCA - Variação acumulada em 6 meses,69.53,%
julho 1985,IPCA - Variação acumulada no ano,89.47,%
julho 1985,IPCA - Variação acumulada em 12 meses,216.44,%
agosto 1985,IPCA - Número-índice (base: dezembro de 1993 = 100),0.0000010745459,Número-índice
agosto 1985,IPCA - Variação mensal,12.05,%
agosto 1985,IPCA - Variação acumulada em 3 meses,34.10,%
agosto 1985,IPCA - Variação acumulada em 6 meses,71.34,%
agosto 1985,IPCA - Variação acumulada no ano,112.30,%
agosto 1985,IPCA - Variação acumulada em 12 meses,224.26,%
